Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
130513-211306,2B,Darren,Darren Baker,Baker,,0,2000,CWS@SEA,CWS,SEA,,,,,,2B/UTIL
130513-170350,OF,Dairon,Dairon Blanco,Blanco,3.7666668362087674,9,2000,TEX@COL,TEX,COL,,,,,,OF/UTIL
130513-211345,OF/2B,Michael,Michael Helman,Helman,8.173684371145148,38,2000,TEX@COL,TEX,COL,,,,,,2B/OF/UTIL
130513-180644,2B,Nate,Nate Mondou,Mondou,,0,2000,LAD@SD,SD,LAD,,,,,,2B/UTIL
130513-180694,OF,Cade,Cade Marlowe,Marlowe,,0,2000,ATH@LAA,ATH,LAA,,,,,,OF/UTIL
130513-135646,C,Carson,Carson Taylor,Taylor,,0,2000,CWS@SEA,SEA,CWS,,,,,,C/1B/UTIL
130513-119308,SS,Adam,Adam Hall,Hall,,0,2000,MIL@CHC,MIL,CHC,,,,,,SS/UTIL
130513-119313,OF,Matthew,Matthew Lugo,Lugo,5.1387097758631555,31,2000,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-119314,C,Ethan,Ethan Hearn,Hearn,,0,2000,MIL@CHC,CHC,MIL,,,,,,C/1B/UTIL
130513-207395,C,Eric,Eric Yang,Yang,,0,2000,MIL@CHC,CHC,MIL,,,,,,C/1B/UTIL
130513-119346,C,Korey,Korey Lee,Lee,3.826923076923077,26,2000,CWS@SEA,CWS,SEA,,,,,,C/1B/UTIL
130513-16951,3B,Anthony,Anthony Rendon,Rendon,,0,2000,ATH@LAA,LAA,ATH,IL,Hip,,,,3B/UTIL
130513-119354,SS/2B/OF,Kyren,Kyren Paris,Paris,7.443181818181818,44,2000,ATH@LAA,LAA,ATH,,,,,,2B/SS/OF/UTIL
130513-219704,SS,Ben,Ben Cowles,Cowles,,0,2000,MIL@CHC,CHC,MIL,,,,,,SS/UTIL
130513-119360,OF,Pablo,Pablo Abreu,Abreu,,0,2000,MIL@CHC,MIL,CHC,,,,,,OF/UTIL
130513-156224,C,Willie,Willie MacIver,MacIver,5.996969512014678,33,2000,TOR@NYY,TOR,NYY,,,,,,C/1B/UTIL
130513-119362,SS,Eduardo,Eduardo Garcia,Garcia,,0,2000,MIL@CHC,MIL,CHC,,,,,,SS/UTIL
130513-119364,OF,Kameron,Kameron Misner,Misner,6.569013998542033,71,2000,BOS@KC,KC,BOS,,,,,,OF/UTIL
130513-119371,2B,Devin,Devin Mann,Mann,,0,2000,SF@ARI,SF,ARI,,,,,,2B/UTIL
130513-119370,SS,Will,Will Holland,Holland,,0,2000,HOU@MIN,MIN,HOU,,,,,,SS/UTIL
130513-119390,OF,Kevin,Kevin Alcantara,Alcantara,3.089999961853027,10,2000,MIL@CHC,CHC,MIL,,,,,,OF/UTIL
130513-119393,SS,Robert,Robert Puason,Puason,,0,2000,ATH@LAA,ATH,LAA,,,,,,SS/UTIL
130513-119402,C,Rodolfo,Rodolfo Duran,Duran,5.550000190734863,4,2000,LAD@SD,SD,LAD,,,,,,C/1B/UTIL
130513-119407,OF,Sammy,Sammy Siani,Siani,,0,2000,CWS@SEA,SEA,CWS,,,,,,OF/UTIL
130513-119412,2B/3B/1B,Owen,Owen Miller,Miller,2.7222222222222223,9,2000,MIL@CHC,CHC,MIL,,,,,,C/1B/2B/3B/UTIL
130513-82553,OF,Jose,Jose Siri,Siri,1.5,2,2000,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-119419,OF,Hunter,Hunter Bishop,Bishop,,0,2000,SF@ARI,SF,ARI,,,,,,OF/UTIL
130513-119418,OF,Jairo,Jairo Pomares,Pomares,,0,2000,SF@ARI,SF,ARI,,,,,,OF/UTIL
130513-119432,SS,Greg,Greg Jones,Jones,1.4090909090909092,11,2000,MIL@CHC,MIL,CHC,,,,,,SS/UTIL
130513-201354,3B,Brett,Brett Harris,Harris,1.2,5,2000,ATH@LAA,ATH,LAA,,,,,,3B/UTIL
130513-119434,OF,Moises,Moises Gomez,Gomez,,0,2000,LAD@SD,SD,LAD,,,,,,OF/UTIL
130513-164498,2B,Ryan,Ryan Bliss,Bliss,0,1,2000,CWS@SEA,SEA,CWS,,,,,,2B/UTIL
130513-203418,2B/3B/1B/OF,Armando,Armando Alvarez,Alvarez,,0,2000,HOU@MIN,MIN,HOU,,,,,,C/1B/2B/3B/OF/UTIL
130513-203417,C,Nick,Nick Raposo,Raposo,,0,2000,CWS@SEA,SEA,CWS,,,,,,C/1B/UTIL
130513-82589,OF/1B,Nick,Nick Pratto,Pratto,,0,2000,TEX@COL,TEX,COL,,,,,,C/1B/OF/UTIL
130513-113309,3B/2B/OF,Josh,Josh Rojas,Rojas,4.511594025985055,69,2000,BOS@KC,KC,BOS,,,,,,2B/3B/OF/UTIL
130513-164518,2B,Tyler,Tyler McDonough,McDonough,,0,2000,BOS@KC,BOS,KC,,,,,,2B/UTIL
130513-21161,2B,Yolmer,Yolmer Sanchez,Sanchez,,0,2000,ATH@LAA,LAA,ATH,,,,,,2B/UTIL
130513-82602,3B,James,James Nelson,Nelson,,0,2000,HOU@MIN,HOU,MIN,,,,,,3B/UTIL
130513-82605,2B/1B,Keston,Keston Hiura,Hiura,4.637499809265137,8,2000,LAD@SD,LAD,SD,,,,,,C/1B/2B/UTIL
130513-164526,C,Nathan,Nathan Hickey,Hickey,,0,2000,BOS@KC,BOS,KC,,,,,,C/1B/UTIL
130513-82611,OF,Akil,Akil Baddoo,Baddoo,3.0714285714285716,7,2000,MIL@CHC,MIL,CHC,IL,Quadriceps,,,,OF/UTIL
130513-164528,SS,James,James Triantos,Triantos,,0,2000,MIL@CHC,CHC,MIL,,,,,,SS/UTIL
130513-21172,1B/2B/3B,Brandon,Brandon Drury,Drury,,0,2000,BOS@KC,KC,BOS,,,,,,C/1B/2B/3B/UTIL
130513-82620,2B,Nick,Nick Solak,Solak,0.75,4,2000,LAD@SD,SD,LAD,,,,,,2B/UTIL
130513-21183,C/1B,Carlos,Carlos Perez,Perez,,0,2000,HOU@MIN,HOU,MIN,,,,,,C/1B/UTIL
130513-207557,2B/SS/3B,Nick,Nick Sogard,Sogard,9.5,1,2000,BOS@KC,BOS,KC,,,,,,2B/3B/SS/UTIL
130513-82661,OF,Daniel,Daniel Johnson,Johnson,2.2750000953674316,8,2000,HOU@MIN,HOU,MIN,,,,,,OF/UTIL
130513-232173,OF,Justin,Justin Dean,Dean,0.4903225744924238,31,2000,MIL@CHC,CHC,MIL,,,,,,OF/UTIL
130513-226041,OF/1B,Matt,Matt Gorski,Gorski,4.76000010172526,15,2000,LAD@SD,LAD,SD,,,,,,C/1B/OF/UTIL
130513-209703,OF,Grant,Grant McCray,McCray,1.5727272033691406,22,2000,SF@ARI,SF,ARI,,,,,,OF/UTIL
130513-176937,C,Chuckie,Chuckie Robinson,Robinson,3.200000047683716,1,2000,LAD@SD,LAD,SD,,,,,,C/1B/UTIL
130513-195378,SS/2B/OF,Tyler,Tyler Fitzgerald,Fitzgerald,5.983333163791233,72,2000,LAD@SD,LAD,SD,,,,,,2B/SS/OF/UTIL
130513-193328,OF,Wade,Wade Meckler,Meckler,,0,2000,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-183092,OF,Jonatan,Jonatan Clase,Clase,6.014705882352941,34,2000,TOR@NYY,TOR,NYY,,,,,,OF/UTIL
130513-119623,OF,Alex,Alex Ramirez,Ramirez,,0,2000,MIL@CHC,CHC,MIL,,,,,,OF/UTIL
130513-119633,OF,Misael,Misael Urbina,Urbina,,0,2000,HOU@MIN,MIN,HOU,,,,,,OF/UTIL
130513-119632,OF,Hedbert,Hedbert Perez,Perez,,0,2000,TOR@NYY,TOR,NYY,IL,Undisclosed,,,,OF/UTIL
130513-203639,3B/1B,CJ,CJ Alexander,Alexander,1.5,6,2000,HOU@MIN,HOU,MIN,,,,,,C/1B/3B/UTIL
130513-209786,1B,Niko,Niko Kavadas,Kavadas,1.5,10,2000,ATH@LAA,LAA,ATH,,,,,,C/1B/UTIL
130513-82824,1B,Mike,Mike Ford,Ford,,0,2000,HOU@MIN,MIN,HOU,,,,,,C/1B/UTIL
130513-68582,2B,Brendan,Brendan Rodgers,Rodgers,4.858139392941497,43,2000,BOS@KC,BOS,KC,O,Shoulder,,,,2B/UTIL
130513-13326,C,Christian,Christian Bethancourt,Bethancourt,,0,2000,MIL@CHC,CHC,MIL,,,,,,C/1B/UTIL
130513-171037,C,Jason,Jason Delay,Delay,,0,2000,BOS@KC,BOS,KC,,,,,,C/1B/UTIL
130513-54307,C,Elias,Elias Diaz,Diaz,5.211111280653212,9,2000,BOS@KC,KC,BOS,,,,,,C/1B/UTIL
130513-240711,SS,Kaelen,Kaelen Culpepper,Culpepper,,0,2000,HOU@MIN,MIN,HOU,,,,,,SS/UTIL
130513-222286,OF,Braden,Braden Montgomery,Montgomery,,0,2000,CWS@SEA,CWS,SEA,,,,,,OF/UTIL
130513-240716,OF,Mike,Mike Sirota,Sirota,,0,2000,LAD@SD,LAD,SD,,,,,,OF/UTIL
130513-212070,OF,Gustavo,Gustavo Campero,Campero,5.885714394705636,28,2000,ATH@LAA,LAA,ATH,,,,,,OF/UTIL
130513-83051,2B/3B,David,David Bote,Bote,,0,2000,LAD@SD,LAD,SD,,,,,,2B/3B/UTIL
130513-171128,3B/2B,Buddy,Buddy Kennedy,Kennedy,2.146153816810021,13,2000,SF@ARI,SF,ARI,,,,,,2B/3B/UTIL
130513-197764,C,Blake,Blake Hunt,Hunt,,0,2000,LAD@SD,SD,LAD,IL,Oblique,,,,C/1B/UTIL
130513-232619,C,C.J.,C.J. Stubbs,Stubbs,0,1,2000,TOR@NYY,TOR,NYY,IL,Undisclosed,,,,C/1B/UTIL
